y,x,street_count,highway,ref,geometry
27.6291628,-99.5355849,3,,,POINT (-99.5355849 27.6291628)
27.512994,-99.4959181,4,,,POINT (-99.4959181 27.512994)
27.5130022,-99.4948914,3,,,POINT (-99.4948914 27.5130022)
27.5130092,-99.4938705,4,,,POINT (-99.4938705 27.5130092)
27.5130125,-99.4928418,4,,,POINT (-99.4928418 27.5130125)
27.5130091,-99.4918065,4,,,POINT (-99.4918065 27.5130091)
27.5129991,-99.4907659,4,,,POINT (-99.4907659 27.5129991)
27.5129972,-99.4897112,4,,,POINT (-99.4897112 27.5129972)
27.5129887,-99.4886504,4,,,POINT (-99.4886504 27.5129887)
27.512986,-99.4875978,4,,,POINT (-99.4875978 27.512986)
27.512988,-99.4865691,4,,,POINT (-99.4865691 27.512988)
27.5129787,-99.4855231,4,,,POINT (-99.4855231 27.5129787)
27.5130074,-99.4845066,4,,,POINT (-99.4845066 27.5130074)
27.5130095,-99.4834528,3,,,POINT (-99.4834528 27.5130095)
27.5129963,-99.4824261,4,,,POINT (-99.4824261 27.5129963)
27.5129983,-99.4813946,4,,,POINT (-99.4813946 27.5129983)
27.5130134,-99.4803664,4,,,POINT (-99.4803664 27.5130134)
27.5851141,-99.5118623,3,,,POINT (-99.5118623 27.5851141)
27.5846696,-99.5116517,4,,,POINT (-99.5116517 27.5846696)
27.5839442,-99.5113073,4,,,POINT (-99.5113073 27.5839442)
27.5832241,-99.5109648,3,,,POINT (-99.5109648 27.5832241)
27.5833718,-99.5105825,1,turning_circle,,POINT (-99.5105825 27.5833718)
27.5826454,-99.5124628,3,,,POINT (-99.5124628 27.5826454)
27.5824425,-99.5129881,1,turning_circle,,POINT (-99.5129881 27.5824425)
27.5833737,-99.5128126,4,,,POINT (-99.5128126 27.5833737)
27.5840965,-99.5131602,4,,,POINT (-99.5131602 27.5840965)
27.5845303,-99.5133682,3,,,POINT (-99.5133682 27.5845303)
27.6069564,-99.512154,3,,,POINT (-99.512154 27.6069564)
27.6083373,-99.5128221,3,,,POINT (-99.5128221 27.6083373)
27.6106077,-99.5139225,3,,,POINT (-99.5139225 27.6106077)
27.5411571,-99.4985359,3,,,POINT (-99.4985359 27.5411571)
27.5418395,-99.4984077,3,,,POINT (-99.4984077 27.5418395)
27.5247469,-99.44164,3,,,POINT (-99.44164 27.5247469)
27.5418276,-99.51741,3,,,POINT (-99.51741 27.5418276)
27.5421541,-99.5183301,3,,,POINT (-99.5183301 27.5421541)
